Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,27.47,25.76,31.56,34.29,59.12,102.28,KPIGLOBAL
Raw Material Cost,,,,,,,,,,,KPIGLOBAL
Change in Inventory,,,,,,-4.91,0.39,3.85,0.97,0.82,KPIGLOBAL
Power and Fuel,,,,,0.08,0.07,2.97,10.4,15.35,22.82,KPIGLOBAL
Other Mfr. Exp,,,,,5.65,-1.18,4.73,6.16,7.84,10.61,KPIGLOBAL
Employee Cost,,,,,1.02,0.92,1.09,1.05,2.14,2.59,KPIGLOBAL
Selling and admin,,,,,5.88,3.46,4.44,5.29,7.64,9.13,KPIGLOBAL
Other Expenses,,,,,0.1,0.11,0.11,-0.08,0.01,-0.65,KPIGLOBAL
Other Income,,,,,0.04,0.26,-0.01,5.85,0.21,0.32,KPIGLOBAL
Depreciation,,,,,2.54,2.12,8.08,4.47,7.48,12.52,KPIGLOBAL
Interest,,,,,0.74,1.95,2.98,3.87,7.84,16.16,KPIGLOBAL
Profit before tax,,,,,11.5,13.66,7.54,12.83,12.0,30.24,KPIGLOBAL
Tax,,,,,3.82,5.53,0.15,3.92,5.5,8.13,KPIGLOBAL
Net profit,,,,,7.68,8.12,7.39,8.9,6.5,22.11,KPIGLOBAL
