Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,7.81,7.81,7.81,39.06,39.06,40.01,HERANBA
Reserves,,,,,90.69,108.22,149.51,189.12,281.79,488.12,HERANBA
Borrowings,,,,,96.18,84.5,75.91,49.88,43.08,50.28,HERANBA
Other Liabilities,,,,,129.96,120.37,217.24,282.38,260.83,264.9,HERANBA
Total,,,,,324.64,320.9,450.47,560.44,624.76,843.31,HERANBA
Net Block,,,,,37.33,38.24,46.24,51.14,95.44,133.44,HERANBA
Capital Work in Progress,,,,,0.21,0.21,1.16,15.97,37.77,9.7,HERANBA
Investments,,,,,0.04,0.04,0.02,0.02,3.73,10.1,HERANBA
Other Assets,,,,,287.06,282.41,403.05,493.31,487.82,690.07,HERANBA
Total,,,,,324.64,320.9,450.47,560.44,624.76,843.31,HERANBA
Receivables,,,,,144.12,124.12,203.08,253.27,258.47,341.76,HERANBA
Inventory,,,,,78.07,98.36,94.0,113.89,145.52,165.99,HERANBA
Cash & Bank,,,,,10.9,10.32,11.78,20.97,3.19,84.78,HERANBA
No. of Equity Shares,,,,,7811306.0,7811306.0,7811306.0,39056530.0,39056530.0,40013467.0,HERANBA
New Bonus Shares,,,,,,,,,,,HERANBA
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,HERANBA
