Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2010-03-31 00:00:00,2011-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,22.09,24.89,87.41,108.01,108.01,108.01,108.01,SHALBY
Reserves,,,,9.64,23.25,170.86,657.25,686.02,705.78,741.64,SHALBY
Borrowings,,,,3.63,0.41,324.82,113.71,70.82,62.21,44.03,SHALBY
Other Liabilities,,,,26.6,18.75,98.9,95.59,90.9,105.36,118.69,SHALBY
Total,,,,61.96,67.3,681.99,974.56,955.75,981.36,1012.37,SHALBY
Net Block,,,,32.95,30.88,312.2,647.34,689.06,669.82,657.58,SHALBY
Capital Work in Progress,,,,,0.01,220.93,46.79,3.35,6.39,7.52,SHALBY
Investments,,,,4.25,6.35,9.84,10.03,24.02,42.75,32.1,SHALBY
Other Assets,,,,24.76,30.06,139.02,270.4,239.32,262.4,315.17,SHALBY
Total,,,,61.96,67.3,681.99,974.56,955.75,981.36,1012.37,SHALBY
Receivables,,,,9.44,8.89,33.46,50.38,81.33,91.49,86.14,SHALBY
Inventory,,,,3.07,2.74,7.56,11.88,12.64,14.76,19.94,SHALBY
Cash & Bank,,,,7.21,6.24,15.7,115.11,25.34,28.71,82.97,SHALBY
No. of Equity Shares,,,,22085300.0,24885300.0,87408932.0,108009770.0,108009770.0,108009770.0,108009770.0,SHALBY
New Bonus Shares,,,,,,,,,,,SHALBY
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SHALBY
