Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,0.7,0.7,0.7,3.04,3.04,3.04,3.04,3.04,10.0,10.0,BALAXI
Reserves,0.08,0.05,0.08,0.18,0.11,-0.72,-1.49,0.48,18.11,33.25,BALAXI
Borrowings,0.22,0.16,0.18,,0.2,,,,,3.51,BALAXI
Other Liabilities,0.18,0.33,0.24,0.46,0.22,0.05,0.13,2.59,9.79,22.16,BALAXI
Total,1.18,1.24,1.2,3.68,3.57,2.37,1.68,6.11,37.9,68.92,BALAXI
Net Block,,,,,,,0.01,0.01,0.19,0.69,BALAXI
Capital Work in Progress,,,,,,,,,,,BALAXI
Investments,0.48,0.47,0.19,3.42,3.29,,,,0.1,19.54,BALAXI
Other Assets,0.7,0.77,1.01,0.26,0.28,2.37,1.67,6.1,37.61,48.69,BALAXI
Total,1.18,1.24,1.2,3.68,3.57,2.37,1.68,6.11,37.9,68.92,BALAXI
Receivables,,0.03,0.29,0.01,,,,5.47,31.22,48.13,BALAXI
Inventory,,,,,,,,,0.83,0.02,BALAXI
Cash & Bank,0.55,0.53,0.55,0.02,0.01,2.34,1.65,0.13,3.57,0.48,BALAXI
No. of Equity Shares,700000.0,700000.0,700000.0,3040000.0,3040000.0,3040000.0,3040000.0,3040000.0,10000000.0,10000000.0,BALAXI
New Bonus Shares,,,,,,,,,,,BALAXI
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,BALAXI
