Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,636.1,853.69,811.14,881.74,1146.35,1336.59,1873.46,1979.07,1816.26,1615.32,MAITHANALL
Raw Material Cost,382.17,571.44,537.94,588.85,584.89,646.03,966.73,1122.21,1057.94,843.24,MAITHANALL
Change in Inventory,6.79,2.32,-4.17,11.49,-11.76,18.48,-2.86,-4.03,-8.85,2.53,MAITHANALL
Power and Fuel,148.3,168.38,177.63,177.83,314.55,278.35,364.65,353.03,361.31,331.98,MAITHANALL
Other Mfr. Exp,11.72,10.06,12.52,13.04,23.06,31.75,30.64,53.26,32.57,27.0,MAITHANALL
Employee Cost,12.46,12.51,10.31,15.78,22.96,33.38,45.27,44.18,42.39,40.67,MAITHANALL
Selling and admin,16.23,26.89,26.81,24.96,48.33,78.81,73.25,69.85,74.39,63.49,MAITHANALL
Other Expenses,4.14,2.8,2.42,1.99,9.22,7.34,5.59,7.79,3.89,13.92,MAITHANALL
Other Income,5.97,4.44,1.99,3.0,3.97,8.17,14.7,25.97,65.92,23.7,MAITHANALL
Depreciation,7.29,6.54,5.82,3.38,23.29,25.32,15.44,15.63,15.81,15.62,MAITHANALL
Interest,4.34,7.4,6.11,6.16,16.53,12.35,7.82,8.22,5.89,3.19,MAITHANALL
Profit before tax,62.21,54.43,29.4,64.24,95.73,249.91,375.91,326.84,279.14,302.44,MAITHANALL
Tax,15.16,10.72,6.42,12.71,16.7,64.24,84.16,71.56,57.24,69.41,MAITHANALL
Net profit,47.05,43.7,22.98,51.53,79.03,185.67,291.75,255.28,221.9,233.03,MAITHANALL
