Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,17.77,13.37,6.34,22.67,22.7,26.96,15.13,22.99,AKG
Expenses,,,17.78,11.05,6.95,21.19,22.07,25.95,14.98,22.28,AKG
Other Income,,,0.21,2.8,,,0.01,,0.27,,AKG
Depreciation,,,,0.58,0.01,0.16,0.01,0.01,0.03,0.04,AKG
Interest,,,0.35,0.16,0.18,0.2,0.22,0.29,0.2,0.24,AKG
Profit before tax,,,-0.15,4.38,-0.8,1.12,0.41,0.71,0.19,0.43,AKG
Tax,,,0.02,0.43,,0.3,0.1,0.19,0.04,0.11,AKG
Net profit,,,-0.17,3.95,-0.79,0.82,0.32,0.53,0.14,0.32,AKG
Operating Profit,,,-0.01,2.32,-0.61,1.48,0.63,1.01,0.15,0.71,AKG
