Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,20.56,20.56,20.56,20.56,20.56,20.56,20.56,20.56,20.56,24.05,NXTDIGITAL
Reserves,654.12,694.79,740.75,796.34,905.0,1007.79,2014.56,638.0,275.71,209.14,NXTDIGITAL
Borrowings,,,,,435.2,381.33,744.82,1203.53,1065.54,1020.31,NXTDIGITAL
Other Liabilities,41.38,42.26,44.78,42.97,105.73,7.09,312.36,751.32,532.92,432.36,NXTDIGITAL
Total,716.06,757.61,806.09,859.87,1466.49,1416.77,3092.3,2613.41,1894.73,1685.86,NXTDIGITAL
Net Block,19.01,16.56,14.3,14.05,12.91,11.73,237.39,891.17,906.16,837.04,NXTDIGITAL
Capital Work in Progress,,,,,,,,24.6,13.12,5.5,NXTDIGITAL
Investments,256.92,189.02,563.25,629.12,613.79,434.0,2569.25,1270.54,348.57,349.12,NXTDIGITAL
Other Assets,440.13,552.03,228.54,216.7,839.79,971.04,285.66,427.1,626.88,494.2,NXTDIGITAL
Total,716.06,757.61,806.09,859.87,1466.49,1416.77,3092.3,2613.41,1894.73,1685.86,NXTDIGITAL
Receivables,8.69,13.52,15.21,0.09,90.98,2.52,6.05,78.4,32.06,42.04,NXTDIGITAL
Inventory,12.02,12.02,12.02,99.68,498.9,430.88,37.19,38.19,41.87,43.22,NXTDIGITAL
Cash & Bank,2.91,1.35,0.56,0.89,4.54,5.56,7.51,99.76,101.8,88.74,NXTDIGITAL
No. of Equity Shares,20555503.0,20555503.0,20555503.0,20555503.0,20555503.0,20555503.0,20555503.0,20555503.0,20555503.0,24051158.0,NXTDIGITAL
New Bonus Shares,,,,,,,,,,,NXTDIGITAL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,NXTDIGITAL
