Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,5.54,8.45,0.02,9.09,7.99,8.5,6.95,7.25,GLOBAL
Expenses,,,3.19,4.23,1.39,4.79,5.29,10.34,4.96,4.6,GLOBAL
Other Income,,,0.54,0.63,0.55,0.63,0.31,0.46,0.67,0.38,GLOBAL
Depreciation,,,0.53,0.7,0.51,0.52,0.18,0.15,0.14,0.75,GLOBAL
Interest,,,,,,,,,,,GLOBAL
Profit before tax,,,2.36,4.15,-1.33,4.41,2.83,-1.53,2.52,2.28,GLOBAL
Tax,,,0.59,0.83,-0.05,1.01,0.71,-0.27,0.63,0.66,GLOBAL
Net profit,,,1.77,3.33,-1.29,3.4,2.12,-1.26,1.9,1.62,GLOBAL
Operating Profit,,,2.35,4.22,-1.37,4.3,2.7,-1.84,1.99,2.65,GLOBAL
