Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,4.89,8.1,2.81,3.45,3.75,7.79,1.88,1.17,4.3,6.89,BFUTILITIE
Expenses,4.3,6.38,3.29,2.87,4.46,6.47,3.62,2.65,4.91,7.85,BFUTILITIE
Other Income,1.21,1.09,1.09,1.12,1.08,0.73,0.73,1.31,0.65,0.57,BFUTILITIE
Depreciation,0.96,0.98,0.98,0.95,0.89,0.9,0.9,0.88,0.61,0.62,BFUTILITIE
Interest,0.41,0.22,0.22,0.23,0.24,0.11,0.11,0.11,0.11,0.03,BFUTILITIE
Profit before tax,0.43,1.61,-0.59,0.52,-0.76,1.04,-2.02,-1.16,-0.68,-1.04,BFUTILITIE
Tax,-0.17,0.08,0.01,-0.21,-0.29,-0.2,-0.24,-0.45,-0.21,-0.11,BFUTILITIE
Net profit,0.6,1.79,-0.59,0.72,-0.47,1.24,-1.78,-0.7,-0.48,-0.93,BFUTILITIE
Operating Profit,0.59,1.72,-0.48,0.58,-0.71,1.32,-1.74,-1.48,-0.61,-0.96,BFUTILITIE
