Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,200.0,200.0,200.0,200.0,200.0,412.0,824.0,824.0,824.0,NIACL
Reserves,,14899.01,16888.72,19556.86,18910.17,19951.49,23738.05,22638.83,20013.16,23920.59,NIACL
Borrowings,,,,,,,,,,,NIACL
Other Liabilities,,30827.73,36508.58,42383.14,44495.09,49179.8,50756.35,56195.25,55502.74,66675.1,NIACL
Total,,45926.74,53597.3,62140.0,63605.26,69331.29,74906.4,79658.08,76339.9,91419.69,NIACL
Net Block,,152.39,157.62,199.23,243.29,2003.76,478.79,474.28,466.38,407.03,NIACL
Capital Work in Progress,,,20.2,,15.2,56.69,33.18,44.62,25.16,15.66,NIACL
Investments,,31274.17,35349.75,44958.14,44545.72,49733.87,55538.21,59190.2,51378.79,66358.22,NIACL
Other Assets,,14500.18,18069.73,16982.63,18801.05,17536.97,18856.22,19948.98,24469.57,24638.78,NIACL
Total,,45926.74,53597.3,62140.0,63605.26,69331.29,74906.4,79658.08,76339.9,91419.69,NIACL
Receivables,,,,,,6376.15,,,,,NIACL
Inventory,,,,,,,,,,,NIACL
Cash & Bank,,7407.99,8965.0,8250.23,7082.74,8019.18,9021.33,9604.88,11171.71,11682.6,NIACL
No. of Equity Shares,,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,824000000.0,1648000000.0,1648000000.0,1648000000.0,NIACL
New Bonus Shares,,,,,,,400000000.0,824000000.0,,,NIACL
Face value,,10.0,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,NIACL
