Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,141.38,142.29,SHREDIGCEM
Reserves,42.32,83.58,48.06,51.71,56.96,62.86,77.13,78.34,135.03,168.76,SHREDIGCEM
Borrowings,28.15,29.15,63.76,86.0,116.0,96.02,25.01,40.27,0.35,0.28,SHREDIGCEM
Other Liabilities,81.65,75.53,67.24,81.81,99.45,77.74,107.0,99.95,103.04,120.37,SHREDIGCEM
Total,293.5,329.64,320.44,360.9,413.79,378.0,350.52,359.94,379.8,431.7,SHREDIGCEM
Net Block,109.1,101.97,160.02,206.41,216.25,217.03,200.73,194.49,188.45,182.38,SHREDIGCEM
Capital Work in Progress,66.98,72.42,13.27,3.73,0.34,0.1,7.51,9.6,8.89,12.56,SHREDIGCEM
Investments,35.32,40.31,4.0,,,,,,,0.01,SHREDIGCEM
Other Assets,82.1,114.94,143.15,150.76,197.2,160.87,142.28,155.85,182.46,236.75,SHREDIGCEM
Total,293.5,329.64,320.44,360.9,413.79,378.0,350.52,359.94,379.8,431.7,SHREDIGCEM
Receivables,5.42,5.61,4.59,13.15,15.66,5.58,12.08,13.71,9.82,10.72,SHREDIGCEM
Inventory,48.04,72.56,63.85,60.78,96.65,69.7,44.02,57.92,64.89,74.97,SHREDIGCEM
Cash & Bank,5.54,9.06,27.97,47.86,52.58,24.06,31.99,36.23,74.39,123.87,SHREDIGCEM
No. of Equity Shares,141375398.0,141375398.0,99375398.0,141374978.0,141374978.0,141374978.0,141374978.0,141374978.0,141374978.0,142292976.0,SHREDIGCEM
New Bonus Shares,,,,,,,,,,,SHREDIGCEM
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SHREDIGCEM
