Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,5.01,5.58,5.68,28.41,29.85,PARAS
Reserves,,,,,,26.66,118.25,146.75,144.59,176.52,PARAS
Borrowings,,,,,,29.62,66.36,84.88,102.96,103.02,PARAS
Other Liabilities,,,,,,32.57,66.61,92.45,65.94,52.16,PARAS
Total,,,,,,93.86,256.8,329.76,341.9,361.55,PARAS
Net Block,,,,,,41.95,171.36,168.29,157.83,156.51,PARAS
Capital Work in Progress,,,,,,,1.21,2.63,4.91,0.51,PARAS
Investments,,,,,,8.81,0.06,0.09,0.08,1.15,PARAS
Other Assets,,,,,,43.1,84.17,158.75,179.08,203.38,PARAS
Total,,,,,,93.86,256.8,329.76,341.9,361.55,PARAS
Receivables,,,,,,11.39,25.29,83.23,97.26,94.97,PARAS
Inventory,,,,,,24.76,43.79,64.53,60.34,74.37,PARAS
Cash & Bank,,,,,,1.27,2.65,1.8,4.33,7.61,PARAS
No. of Equity Shares,,,,,,5010000.0,5582534.0,5682534.0,28412670.0,28412670.0,PARAS
New Bonus Shares,,,,,,,,,,,PARAS
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,PARAS
