Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,108.28,108.5,108.61,108.73,108.73,108.73,108.73,108.73,108.73,124.84,GDL
Reserves,580.5,552.05,501.13,579.6,679.29,658.34,606.61,643.9,606.9,760.28,GDL
Borrowings,12.44,22.88,39.43,39.78,24.96,92.37,116.34,636.58,600.0,405.57,GDL
Other Liabilities,59.59,27.97,67.53,69.04,36.74,35.82,53.83,55.18,57.41,78.68,GDL
Total,760.81,711.4,716.7,797.15,849.72,895.26,885.51,1444.39,1373.04,1369.37,GDL
Net Block,163.46,189.97,169.84,179.78,143.82,178.65,220.26,201.66,228.1,188.44,GDL
Capital Work in Progress,1.16,1.74,7.89,0.13,18.72,33.82,,,,17.63,GDL
Investments,411.77,414.56,458.53,501.96,564.58,583.03,567.18,1128.49,963.09,964.57,GDL
Other Assets,184.42,105.13,80.44,115.28,122.6,99.76,98.07,114.24,181.85,198.73,GDL
Total,760.81,711.4,716.7,797.15,849.72,895.26,885.51,1444.39,1373.04,1369.37,GDL
Receivables,5.25,10.29,9.55,19.58,29.93,27.47,37.81,35.83,26.22,25.82,GDL
Inventory,,,,,,,,,,,GDL
Cash & Bank,110.96,43.45,39.21,55.8,19.24,7.38,8.36,22.72,1.73,27.53,GDL
No. of Equity Shares,108278109.0,108504634.0,108606584.0,108728049.0,108728049.0,108728049.0,108728049.0,108728049.0,108728049.0,124835908.0,GDL
New Bonus Shares,,,,,,,,,,,GDL
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,GDL
