Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,18.33,18.33,18.33,18.33,18.33,18.33,18.33,18.33,18.33,18.33,MANGTIMBER
Reserves,-4.8,-8.35,-15.96,-26.36,-39.0,-57.26,-66.46,-80.69,-95.37,-114.28,MANGTIMBER
Borrowings,46.94,16.31,20.36,26.21,27.38,60.69,56.16,58.73,80.35,123.81,MANGTIMBER
Other Liabilities,30.73,69.82,69.85,75.17,85.37,73.34,96.68,106.58,109.72,87.27,MANGTIMBER
Total,91.2,96.11,92.58,93.35,92.08,95.1,104.71,102.95,113.03,115.13,MANGTIMBER
Net Block,25.36,25.43,24.4,22.81,21.43,33.57,33.03,31.54,30.07,28.62,MANGTIMBER
Capital Work in Progress,0.49,1.59,1.54,1.71,8.62,0.01,0.01,0.36,1.09,1.22,MANGTIMBER
Investments,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,MANGTIMBER
Other Assets,65.3,69.04,66.59,68.78,61.98,61.47,71.62,71.0,81.82,85.24,MANGTIMBER
Total,91.2,96.11,92.58,93.35,92.08,95.1,104.71,102.95,113.03,115.13,MANGTIMBER
Receivables,9.35,7.1,5.3,6.81,5.33,4.68,4.51,4.2,4.92,4.22,MANGTIMBER
Inventory,29.06,33.78,29.91,25.77,15.03,15.14,21.3,15.14,18.5,15.19,MANGTIMBER
Cash & Bank,0.82,0.81,0.85,0.7,0.39,0.19,1.0,0.84,0.84,0.03,MANGTIMBER
No. of Equity Shares,18329500.0,18327400.0,228327400.0,18329500.0,18329500.0,18329500.0,18329500.0,18329500.0,18329500.0,18329500.0,MANGTIMBER
New Bonus Shares,,,,,,,,,,,MANGTIMBER
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MANGTIMBER
