Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,7.66,TVSSRICHAK
Reserves,133.92,162.88,195.99,268.63,410.64,567.32,646.6,735.49,754.33,832.94,TVSSRICHAK
Borrowings,339.41,232.98,303.52,205.37,145.3,314.65,311.94,412.69,336.27,198.4,TVSSRICHAK
Other Liabilities,312.27,415.22,331.42,318.76,411.63,514.97,475.26,644.47,511.22,577.96,TVSSRICHAK
Total,793.26,818.74,838.59,800.42,975.23,1404.6,1441.46,1800.31,1609.48,1616.96,TVSSRICHAK
Net Block,177.1,185.41,229.32,267.1,359.16,506.09,594.95,622.22,646.65,626.8,TVSSRICHAK
Capital Work in Progress,21.63,31.02,20.45,18.4,43.94,62.57,26.28,33.85,48.18,62.67,TVSSRICHAK
Investments,19.82,19.28,19.26,32.01,44.92,46.81,67.96,106.93,109.11,162.9,TVSSRICHAK
Other Assets,574.71,583.03,569.56,482.91,527.21,789.13,752.27,1037.31,805.54,764.59,TVSSRICHAK
Total,793.26,818.74,838.59,800.42,975.23,1404.6,1441.46,1800.31,1609.48,1616.96,TVSSRICHAK
Receivables,189.55,186.43,266.38,166.8,173.9,203.57,243.7,323.63,196.98,232.45,TVSSRICHAK
Inventory,300.33,253.17,206.65,209.84,207.93,411.78,331.53,488.75,410.51,416.1,TVSSRICHAK
Cash & Bank,5.61,44.89,7.94,9.42,12.3,9.37,15.47,16.46,11.13,7.34,TVSSRICHAK
No. of Equity Shares,7657000.0,7657000.0,7657100.0,7657050.0,7657050.0,7657050.0,7657050.0,7657050.0,7657050.0,7657050.0,TVSSRICHAK
New Bonus Shares,,,,,,,,,,,TVSSRICHAK
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,TVSSRICHAK
