Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1311.41,1417.87,1427.43,1471.68,1342.83,1500.32,1683.24,1995.79,1792.34,1829.08,GALAXYSURF
Raw Material Cost,1002.65,1058.47,1048.33,1063.88,904.58,1087.95,1196.24,1374.91,1122.16,1198.72,GALAXYSURF
Change in Inventory,21.0,-28.15,17.29,-4.17,-13.16,41.7,7.8,0.63,-22.05,50.27,GALAXYSURF
Power and Fuel,35.73,41.78,37.6,34.72,30.64,32.43,37.86,45.62,47.22,43.61,GALAXYSURF
Other Mfr. Exp,47.55,10.53,11.35,17.17,17.25,61.87,70.34,80.2,79.95,87.23,GALAXYSURF
Employee Cost,44.98,49.65,52.4,65.08,70.99,72.85,76.37,88.44,95.71,107.03,GALAXYSURF
Selling and admin,67.3,88.01,85.82,94.79,88.18,75.85,87.69,109.99,112.56,120.78,GALAXYSURF
Other Expenses,15.4,10.68,15.7,15.68,13.3,21.79,23.04,29.66,31.51,28.89,GALAXYSURF
Other Income,2.65,4.16,7.67,8.4,9.03,35.32,12.97,35.91,5.36,4.4,GALAXYSURF
Depreciation,24.31,32.81,33.33,23.86,22.96,25.05,27.51,28.7,39.94,49.8,GALAXYSURF
Interest,33.13,50.81,38.04,30.58,25.94,20.78,20.59,20.44,16.9,8.37,GALAXYSURF
Profit before tax,64.01,51.14,129.82,130.15,164.86,178.77,164.37,254.37,229.7,239.32,GALAXYSURF
Tax,20.37,16.87,45.63,45.0,57.64,58.06,51.96,85.92,47.52,61.46,GALAXYSURF
Net profit,43.64,34.27,84.18,85.16,107.22,120.71,112.41,168.45,182.18,177.86,GALAXYSURF
