Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,151.91,156.72,182.18,250.92,373.37,358.29,434.53,ASTRON
Raw Material Cost,,,,97.03,100.22,116.29,162.66,221.38,207.5,274.85,ASTRON
Change in Inventory,,,,0.51,-0.01,-1.14,3.61,-0.31,6.03,-0.09,ASTRON
Power and Fuel,,,,21.34,21.26,28.59,36.44,45.55,56.23,56.69,ASTRON
Other Mfr. Exp,,,,4.82,5.05,2.38,7.82,27.17,35.69,43.31,ASTRON
Employee Cost,,,,6.38,6.63,7.74,9.36,12.84,15.63,16.5,ASTRON
Selling and admin,,,0.06,2.37,3.64,4.03,6.76,14.75,14.23,14.64,ASTRON
Other Expenses,,,0.05,1.37,0.41,0.37,-0.06,1.24,0.95,0.89,ASTRON
Other Income,,,0.02,0.22,0.35,1.32,0.77,0.62,1.45,3.02,ASTRON
Depreciation,,,0.05,2.66,2.79,3.29,3.52,5.07,5.4,6.04,ASTRON
Interest,,,0.02,10.7,10.7,11.3,9.89,9.77,9.92,9.74,ASTRON
Profit before tax,,,-0.16,5.97,6.36,8.37,18.91,35.91,20.22,14.8,ASTRON
Tax,,,0.03,1.84,0.27,-1.66,-1.93,11.79,6.88,5.05,ASTRON
Net profit,,,-0.2,4.13,6.09,10.02,20.83,24.11,13.33,9.75,ASTRON
