Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3PLAND
Reserves,36.54,37.24,37.95,39.6,30.46,30.33,30.29,33.88,26.44,44.53,3PLAND
Borrowings,55.68,54.84,53.12,72.86,16.38,18.01,15.05,2.37,,,3PLAND
Other Liabilities,18.08,21.62,21.11,18.65,0.49,0.38,0.18,0.17,0.02,0.1,3PLAND
Total,113.9,117.3,115.78,134.71,50.93,52.32,49.12,40.02,30.06,48.23,3PLAND
Net Block,22.49,22.88,21.9,20.66,0.72,0.69,0.62,1.01,0.86,0.74,3PLAND
Capital Work in Progress,0.04,0.05,0.04,,,,,,,,3PLAND
Investments,17.73,17.73,17.72,32.72,32.72,32.72,32.72,36.2,16.18,33.64,3PLAND
Other Assets,73.64,76.64,76.12,81.33,17.49,18.91,15.78,2.81,13.02,13.85,3PLAND
Total,113.9,117.3,115.78,134.71,50.93,52.32,49.12,40.02,30.06,48.23,3PLAND
Receivables,20.5,23.46,19.58,22.1,0.46,0.08,,,,,3PLAND
Inventory,25.58,20.66,24.89,40.28,,,,,,,3PLAND
Cash & Bank,0.64,0.87,0.67,0.59,0.13,0.1,0.04,0.16,0.18,0.17,3PLAND
No. of Equity Shares,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,3PLAND
New Bonus Shares,,,,,,,,,,,3PLAND
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3PLAND
