Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,19.49,156.44,179.5,208.11,214.35,196.11,126.46,BALKRISHNA
Raw Material Cost,,,,12.61,99.49,119.4,142.9,140.67,117.68,77.71,BALKRISHNA
Change in Inventory,,,,-0.46,-2.18,3.14,3.46,-0.05,0.05,-1.89,BALKRISHNA
Power and Fuel,,,,3.36,25.2,30.27,39.82,36.78,38.12,19.1,BALKRISHNA
Other Mfr. Exp,,,,1.64,12.93,22.19,28.08,31.76,29.35,18.61,BALKRISHNA
Employee Cost,,,,1.05,10.61,11.73,12.19,13.52,12.28,9.38,BALKRISHNA
Selling and admin,,,,2.12,11.84,5.57,6.19,6.46,4.57,2.92,BALKRISHNA
Other Expenses,,,,0.18,2.55,5.43,5.15,7.8,7.49,6.04,BALKRISHNA
Other Income,,,,0.03,44.28,5.3,2.35,0.11,0.22,2.79,BALKRISHNA
Depreciation,,,,0.54,3.66,5.77,6.83,6.61,6.62,6.33,BALKRISHNA
Interest,,,,0.61,5.35,7.33,10.66,14.45,12.97,12.92,BALKRISHNA
Profit before tax,,,,-3.05,26.91,-19.75,-37.9,-43.64,-32.7,-25.65,BALKRISHNA
Tax,,,,0.06,10.42,3.71,2.29,-1.4,1.85,0.19,BALKRISHNA
Net profit,,,,-3.1,16.48,-23.46,-40.19,-42.24,-34.56,-25.85,BALKRISHNA
