Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,23.98,23.98,23.98,23.98,23.98,23.98,ROLEXRINGS
Reserves,,,,,-23.81,52.7,126.3,182.91,235.67,323.13,ROLEXRINGS
Borrowings,,,,,601.74,530.03,431.31,377.07,249.98,238.07,ROLEXRINGS
Other Liabilities,,,,,139.58,156.92,221.97,198.3,176.54,211.74,ROLEXRINGS
Total,,,,,741.49,763.63,803.56,782.26,686.17,796.92,ROLEXRINGS
Net Block,,,,,335.21,345.7,335.79,382.34,374.27,372.39,ROLEXRINGS
Capital Work in Progress,,,,,8.43,,39.61,0.95,,1.15,ROLEXRINGS
Investments,,,,,,,,,,,ROLEXRINGS
Other Assets,,,,,397.85,417.93,428.16,398.97,311.9,423.38,ROLEXRINGS
Total,,,,,741.49,763.63,803.56,782.26,686.17,796.92,ROLEXRINGS
Receivables,,,,,172.49,175.2,201.22,181.5,127.67,170.8,ROLEXRINGS
Inventory,,,,,131.84,132.32,160.87,160.2,130.57,171.07,ROLEXRINGS
Cash & Bank,,,,,42.02,34.91,15.73,4.66,16.44,10.42,ROLEXRINGS
No. of Equity Shares,,,,,23981000.0,23981000.0,23981090.0,23981090.0,23981090.0,23981090.0,ROLEXRINGS
New Bonus Shares,,,,,,,,,,,ROLEXRINGS
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,ROLEXRINGS
