Report Date,2012-06-30 00:00:00,2013-06-30 00:00:00,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,219.98,219.98,219.98,219.98,219.98,219.98,251.0,251.0,251.0,251.0,SANGHIIND
Reserves,574.08,619.96,669.54,690.88,831.03,894.0,1346.88,1399.36,1464.36,1542.74,SANGHIIND
Borrowings,836.05,675.16,581.11,492.47,603.08,599.41,740.29,771.07,1255.89,1395.07,SANGHIIND
Other Liabilities,319.9,366.17,286.13,356.7,366.31,352.23,316.15,394.43,433.01,415.29,SANGHIIND
Total,1950.01,1881.27,1756.76,1760.03,2020.4,2065.62,2654.32,2815.86,3404.26,3604.1,SANGHIIND
Net Block,1374.28,1381.48,1265.56,1238.04,1478.33,1451.87,1508.72,1605.06,1706.2,1652.08,SANGHIIND
Capital Work in Progress,155.12,54.57,59.3,56.34,82.35,167.13,293.58,436.82,1004.13,1337.84,SANGHIIND
Investments,,,,,,,,,,,SANGHIIND
Other Assets,420.61,445.22,431.9,465.65,459.72,446.62,852.02,773.98,693.93,614.18,SANGHIIND
Total,1950.01,1881.27,1756.76,1760.03,2020.4,2065.62,2654.32,2815.86,3404.26,3604.1,SANGHIIND
Receivables,18.5,25.05,12.51,14.54,18.44,23.94,32.08,44.18,39.38,48.95,SANGHIIND
Inventory,178.88,211.24,147.79,167.13,138.45,186.58,147.49,237.29,356.58,351.08,SANGHIIND
Cash & Bank,6.01,3.46,33.95,5.53,83.03,16.27,428.05,166.65,53.92,33.04,SANGHIIND
No. of Equity Shares,219979000.0,219979000.0,219979000.0,219979000.0,219979000.0,219979000.0,251000000.0,251000000.0,251000000.0,251000000.0,SANGHIIND
New Bonus Shares,,,,,,,,,,,SANGHIIND
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SANGHIIND
