Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,14.88,11.3,13.02,13.79,13.91,13.3,14.13,14.29,AWHCL
Expenses,,,11.27,11.88,8.62,9.6,10.09,10.88,10.18,10.57,AWHCL
Other Income,,,0.61,-16.86,1.3,1.36,1.44,2.35,2.53,2.92,AWHCL
Depreciation,,,0.61,0.6,0.59,0.57,0.53,0.52,0.52,0.53,AWHCL
Interest,,,1.78,1.59,1.12,1.06,1.08,1.24,0.93,1.23,AWHCL
Profit before tax,,,1.83,-19.63,3.99,3.92,3.65,3.01,5.03,4.88,AWHCL
Tax,,,,,,,2.04,-1.4,1.54,1.64,AWHCL
Net profit,,,1.84,-19.63,3.99,3.91,1.6,4.42,3.49,3.24,AWHCL
Operating Profit,,,3.61,-0.58,4.4,4.19,3.82,2.42,3.95,3.72,AWHCL
