Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,Company_Name
Equity Share Capital,69.9,68.34,67.27,67.27,67.27,67.27,67.27,67.27,67.27,67.27,RAIN
Reserves,305.0,298.49,261.28,252.22,244.51,856.9,855.39,848.59,850.41,844.24,RAIN
Borrowings,429.25,361.89,227.79,278.65,329.0,473.25,317.9,347.62,338.34,277.11,RAIN
Other Liabilities,54.41,52.77,15.8,15.68,8.26,15.4,10.58,44.59,20.33,11.41,RAIN
Total,858.56,781.49,572.14,613.82,649.04,1412.82,1251.14,1308.07,1276.35,1200.03,RAIN
Net Block,11.81,11.16,10.65,10.41,8.81,7.59,7.22,7.61,7.13,7.05,RAIN
Capital Work in Progress,,,,,,,,,,,RAIN
Investments,303.53,303.59,303.59,303.6,304.84,916.97,916.97,916.97,916.97,916.97,RAIN
Other Assets,543.22,466.74,257.9,299.81,335.39,488.26,326.95,383.49,352.25,276.01,RAIN
Total,858.56,781.49,572.14,613.82,649.04,1412.82,1251.14,1308.07,1276.35,1200.03,RAIN
Receivables,104.14,34.45,5.83,1.32,0.58,1.32,1.51,32.72,4.99,4.75,RAIN
Inventory,,,,,,,,,,,RAIN
Cash & Bank,86.68,110.02,49.35,28.2,12.6,11.69,6.8,6.1,24.55,24.33,RAIN
No. of Equity Shares,349482981.0,341701602.0,336345679.0,336345679.0,336345679.0,336345679.0,336345679.0,336345679.0,336345679.0,336345679.0,RAIN
New Bonus Shares,,,,,,,,,,,RAIN
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,RAIN
