Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,5.93,5.71,3.31,8.37,6.55,6.7,5.85,9.71,AARON
Expenses,,,5.23,4.57,3.24,7.45,5.4,5.43,4.95,8.21,AARON
Other Income,,,0.02,0.02,0.02,0.03,,0.09,,0.01,AARON
Depreciation,,,0.14,0.14,0.14,0.15,0.17,0.17,0.2,0.21,AARON
Interest,,,0.14,0.15,0.13,0.15,0.17,-0.01,0.18,0.16,AARON
Profit before tax,,,0.44,0.87,-0.18,0.65,0.81,1.2,0.52,1.14,AARON
Tax,,,0.16,0.32,0.02,0.18,0.21,0.36,0.15,0.32,AARON
Net profit,,,0.28,0.56,-0.21,0.47,0.6,0.83,0.37,0.82,AARON
Operating Profit,,,0.7,1.14,0.07,0.92,1.15,1.27,0.9,1.5,AARON
