Report Date,Unnamed: 1,Unnamed: 2,2011-03-31 00:00:00,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,5.55,60.55,423.0,1005.94,1005.94,1005.94,1053.4,1139.28,EQUITASBNK
Reserves,,,-0.48,-13.37,287.92,1005.98,1037.81,1248.38,1690.75,2257.06,EQUITASBNK
Borrowings,,,,43.52,1637.73,6700.19,10781.18,12979.77,15923.28,20557.29,EQUITASBNK
Other Liabilities,,,,14.39,65.45,533.24,485.02,528.6,628.12,761.59,EQUITASBNK
Total,,,5.07,105.09,2414.1,9245.35,13309.95,15762.69,19295.55,24715.22,EQUITASBNK
Net Block,,,,3.52,11.17,273.61,279.73,235.71,210.5,184.17,EQUITASBNK
Capital Work in Progress,,,,,,14.74,1.15,1.62,2.27,0.88,EQUITASBNK
Investments,,,,,,1890.5,3856.84,2344.45,2342.51,3705.17,EQUITASBNK
Other Assets,,,5.07,101.57,2402.93,7066.5,9172.23,13180.91,16740.27,20825.0,EQUITASBNK
Total,,,5.07,105.09,2414.1,9245.35,13309.95,15762.69,19295.55,24715.22,EQUITASBNK
Receivables,,,,,,,,,,,EQUITASBNK
Inventory,,,,,,,,,,,EQUITASBNK
Cash & Bank,,,5.06,7.7,100.68,1114.07,1211.17,1260.62,2536.84,3378.71,EQUITASBNK
No. of Equity Shares,,,555000.0,60550000.0,423000000.0,1005943963.0,1005943963.0,1005943363.0,1053401602.0,1139278250.0,EQUITASBNK
New Bonus Shares,,,,,,,,,,,EQUITASBNK
Face value,,,100.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,EQUITASBNK
