Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,19.27,19.39,19.39,19.51,19.52,19.52,19.52,21.29,22.48,24.76,ZODIACLOTH
Reserves,145.24,150.4,156.75,161.64,157.28,231.97,224.39,229.03,202.52,203.26,ZODIACLOTH
Borrowings,47.17,44.71,41.61,51.96,65.57,59.2,66.84,60.38,142.03,89.85,ZODIACLOTH
Other Liabilities,46.59,51.97,67.98,59.66,55.34,50.32,55.67,55.98,39.12,33.61,ZODIACLOTH
Total,258.27,266.47,285.73,292.77,297.71,361.01,366.42,366.68,406.15,351.48,ZODIACLOTH
Net Block,63.58,83.59,87.01,95.4,107.61,141.1,133.45,127.07,190.89,148.75,ZODIACLOTH
Capital Work in Progress,19.86,1.77,3.76,5.75,5.44,2.59,2.31,2.03,1.87,0.05,ZODIACLOTH
Investments,18.5,25.32,24.33,22.38,20.87,72.94,56.57,54.45,28.94,36.87,ZODIACLOTH
Other Assets,156.33,155.79,170.63,169.24,163.79,144.38,174.09,183.13,184.45,165.81,ZODIACLOTH
Total,258.27,266.47,285.73,292.77,297.71,361.01,366.42,366.68,406.15,351.48,ZODIACLOTH
Receivables,18.46,27.07,32.32,28.88,24.23,20.64,25.28,22.27,15.98,16.74,ZODIACLOTH
Inventory,70.43,69.54,72.41,76.94,77.27,70.65,78.01,86.84,88.22,76.93,ZODIACLOTH
Cash & Bank,8.7,2.96,2.85,3.0,2.36,2.64,4.13,4.62,5.95,1.35,ZODIACLOTH
No. of Equity Shares,19270298.0,19389998.0,19389998.0,19511199.0,19519974.0,19519974.0,19519974.0,21294596.0,22477677.0,24759531.0,ZODIACLOTH
New Bonus Shares,,,,,,,,,,,ZODIACLOTH
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ZODIACLOTH
