Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.11,18.74,18.75,18.77,18.79,19.28,TIINDIA
Reserves,,,,,-0.06,1123.27,1194.39,1406.25,1693.75,2273.85,TIINDIA
Borrowings,,,,,,775.96,678.86,516.54,309.19,345.91,TIINDIA
Other Liabilities,,,,,,918.36,1041.53,1038.44,750.58,1292.96,TIINDIA
Total,,,,,0.05,2836.33,2933.53,2980.0,2772.31,3932.0,TIINDIA
Net Block,,,,,,886.43,918.11,985.77,1061.66,997.1,TIINDIA
Capital Work in Progress,,,,,,33.1,89.6,68.68,52.11,126.32,TIINDIA
Investments,,,,,,669.02,571.82,557.3,628.94,1534.48,TIINDIA
Other Assets,,,,,0.05,1247.78,1354.0,1368.25,1029.6,1274.1,TIINDIA
Total,,,,,0.05,2836.33,2933.53,2980.0,2772.31,3932.0,TIINDIA
Receivables,,,,,,528.22,575.44,528.63,439.15,605.47,TIINDIA
Inventory,,,,,,580.72,607.23,647.17,413.82,514.14,TIINDIA
Cash & Bank,,,,,0.05,18.76,19.25,29.75,23.53,8.74,TIINDIA
No. of Equity Shares,,,,,110000.0,187447871.0,187536368.0,187711281.0,187875429.0,192816871.0,TIINDIA
New Bonus Shares,,,,,,,,,,,TIINDIA
Face value,,,,,10.0,1.0,1.0,1.0,1.0,1.0,TIINDIA
