Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,59.95,75.47,79.47,82.5,82.45,61.21,61.57,62.2,59.16,78.31,RAJTV
Raw Material Cost,,,,,,,,,,,RAJTV
Change in Inventory,,,,,,,,,,,RAJTV
Power and Fuel,1.17,1.18,1.58,1.55,2.08,1.76,1.46,1.41,1.37,1.32,RAJTV
Other Mfr. Exp,19.01,27.78,24.98,22.1,41.0,19.34,17.16,18.77,14.63,23.31,RAJTV
Employee Cost,10.14,11.7,17.62,22.97,22.43,23.64,22.79,21.11,19.41,15.36,RAJTV
Selling and admin,13.41,15.01,18.75,10.07,11.42,8.6,9.63,7.3,12.3,25.32,RAJTV
Other Expenses,1.87,2.05,-6.92,1.43,0.28,0.31,0.2,0.08,0.06,0.15,RAJTV
Other Income,0.68,-0.55,1.07,1.39,0.46,0.85,1.83,1.34,0.29,0.24,RAJTV
Depreciation,3.29,3.68,3.96,6.33,6.54,6.62,6.69,6.27,6.85,6.85,RAJTV
Interest,1.88,3.87,4.68,6.47,4.52,4.83,5.43,5.0,4.48,5.88,RAJTV
Profit before tax,9.86,9.65,15.89,12.97,-5.36,-3.04,0.04,3.6,0.35,0.36,RAJTV
Tax,0.64,0.37,2.98,4.8,0.69,1.74,1.41,-1.79,0.33,0.22,RAJTV
Net profit,9.21,9.29,12.91,8.16,-6.05,-4.78,-1.37,5.4,0.01,0.13,RAJTV
