Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,0.19,13.44,13.45,13.51,13.76,ANANDRATHI
Reserves,,,,,,6.28,76.35,141.3,211.55,266.01,ANANDRATHI
Borrowings,,,,,,,0.69,0.6,41.73,33.36,ANANDRATHI
Other Liabilities,,,,,,0.49,78.94,57.57,162.28,49.02,ANANDRATHI
Total,,,,,,6.96,169.42,212.92,429.07,362.15,ANANDRATHI
Net Block,,,,,,,9.19,9.42,32.13,20.03,ANANDRATHI
Capital Work in Progress,,,,,,,,,65.39,69.04,ANANDRATHI
Investments,,,,,,4.24,61.88,128.93,192.98,194.32,ANANDRATHI
Other Assets,,,,,,2.72,98.35,74.57,138.57,78.76,ANANDRATHI
Total,,,,,,6.96,169.42,212.92,429.07,362.15,ANANDRATHI
Receivables,,,,,,0.49,10.46,9.28,7.99,10.01,ANANDRATHI
Inventory,,,,,,,,,,,ANANDRATHI
Cash & Bank,,,,,,0.54,0.34,11.11,25.96,37.82,ANANDRATHI
No. of Equity Shares,,,,,,194702.0,13443040.0,26908600.0,27027440.0,27513560.0,ANANDRATHI
New Bonus Shares,,,,,,,,,,,ANANDRATHI
Face value,,,,,,10.0,10.0,5.0,5.0,5.0,ANANDRATHI
