Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,8.8,8.8,8.8,17.6,35.2,70.4,70.4,70.4,MSTCLTD
Reserves,,,617.21,685.43,723.68,499.41,527.56,137.68,209.43,284.56,MSTCLTD
Borrowings,,,862.18,1085.89,628.08,688.35,761.64,604.9,231.62,154.39,MSTCLTD
Other Liabilities,,,3728.19,3960.31,3046.34,3353.5,3435.19,1661.93,1272.2,1340.48,MSTCLTD
Total,,,5216.38,5740.43,4406.9,4558.86,4759.59,2474.91,1783.65,1849.83,MSTCLTD
Net Block,,,15.38,16.39,4.26,5.0,3.99,12.86,16.22,14.27,MSTCLTD
Capital Work in Progress,,,0.84,,,,6.48,20.46,28.92,50.25,MSTCLTD
Investments,,,15.81,15.81,15.81,18.91,26.41,34.41,34.41,38.41,MSTCLTD
Other Assets,,,5184.35,5708.23,4386.83,4534.95,4722.71,2407.18,1704.1,1746.9,MSTCLTD
Total,,,5216.38,5740.43,4406.9,4558.86,4759.59,2474.91,1783.65,1849.83,MSTCLTD
Receivables,,,3829.97,4056.91,3154.63,3618.87,3842.21,1720.01,1233.44,723.76,MSTCLTD
Inventory,,,36.05,146.83,15.29,70.74,,,,,MSTCLTD
Cash & Bank,,,1096.04,1236.98,945.05,448.58,505.83,339.02,171.15,719.87,MSTCLTD
No. of Equity Shares,,,8800000.0,8800000.0,8800000.0,17600000.0,35200000.0,70400000.0,70400000.0,70400000.0,MSTCLTD
New Bonus Shares,,,,,,8800000.0,,35200000.0,,,MSTCLTD
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MSTCLTD
