Report Date,Unnamed: 1,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,175.06,171.5,186.35,177.02,182.84,192.84,208.26,230.41,250.43,HAPPSTMNDS
Expenses,,146.94,147.32,164.95,139.76,138.52,141.6,153.21,176.69,191.63,HAPPSTMNDS
Other Income,,5.45,4.06,-7.44,9.17,5.07,8.45,3.01,3.18,9.59,HAPPSTMNDS
Depreciation,,5.02,5.09,5.11,5.13,5.12,5.16,5.22,5.09,6.19,HAPPSTMNDS
Interest,,1.81,1.64,2.06,1.86,1.6,1.26,2.2,1.63,2.42,HAPPSTMNDS
Profit before tax,,26.74,21.51,6.79,39.44,42.67,53.27,50.64,50.18,59.78,HAPPSTMNDS
Tax,,,,1.9,-9.34,8.59,11.12,13.72,15.17,15.3,HAPPSTMNDS
Net profit,,26.74,21.51,4.89,48.78,34.08,42.15,36.92,35.01,44.48,HAPPSTMNDS
Operating Profit,,28.12,24.18,21.4,37.26,44.32,51.24,55.05,53.72,58.8,HAPPSTMNDS
