Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,150.1,156.58,177.83,218.8,314.17,427.12,601.64,701.52,741.5,627.24,KINGFA
Raw Material Cost,120.77,136.36,155.83,185.09,260.82,376.96,517.02,593.69,614.41,533.33,KINGFA
Change in Inventory,-1.86,1.55,0.26,3.35,5.63,13.55,17.35,-3.09,6.84,9.91,KINGFA
Power and Fuel,2.42,2.72,3.83,3.46,5.43,7.77,11.47,12.98,17.16,15.89,KINGFA
Other Mfr. Exp,1.93,5.18,5.47,6.2,8.48,2.32,6.46,5.58,9.12,10.23,KINGFA
Employee Cost,6.54,6.6,7.29,8.12,9.95,12.24,10.65,11.34,15.55,16.77,KINGFA
Selling and admin,5.47,5.35,6.94,10.51,6.24,17.84,26.56,25.57,26.33,31.74,KINGFA
Other Expenses,1.9,,2.01,2.28,2.24,4.17,5.64,14.05,22.48,9.17,KINGFA
Other Income,-0.11,0.77,0.21,0.09,0.89,3.55,5.66,4.38,2.56,5.93,KINGFA
Depreciation,2.68,2.82,2.66,3.14,2.94,3.06,6.22,8.01,8.96,10.79,KINGFA
Interest,6.55,6.97,6.56,8.12,7.21,2.17,2.04,2.37,3.55,3.31,KINGFA
Profit before tax,-0.13,-7.1,-12.29,-4.68,17.38,17.69,38.59,29.22,33.34,11.85,KINGFA
Tax,-0.16,-2.06,-3.81,-1.64,6.58,5.29,13.95,10.17,8.73,6.53,KINGFA
Net profit,0.03,-5.05,-8.48,-3.04,10.8,12.4,24.64,19.06,24.62,5.32,KINGFA
