Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,199.2,249.0,224.1,224.1,201.69,201.69,MAZDOCK
Reserves,,,,,2124.21,2359.78,2198.43,2568.12,2379.51,2717.37,MAZDOCK
Borrowings,,,,,,,,,,,MAZDOCK
Other Liabilities,,,,,16383.6,16362.61,16502.23,17633.2,17883.39,21708.72,MAZDOCK
Total,,,,,18707.01,18971.39,18924.76,20425.42,20464.59,24627.78,MAZDOCK
Net Block,,,,,367.76,546.27,646.37,810.29,836.35,806.85,MAZDOCK
Capital Work in Progress,,,,,169.58,98.43,85.38,88.77,79.96,80.15,MAZDOCK
Investments,,,,,6.0,6.0,6.0,6.0,6.0,6.0,MAZDOCK
Other Assets,,,,,18163.67,18320.69,18187.01,19520.36,19542.28,23734.78,MAZDOCK
Total,,,,,18707.01,18971.39,18924.76,20425.42,20464.59,24627.78,MAZDOCK
Receivables,,,,,919.73,746.2,1108.83,1472.89,1432.82,965.94,MAZDOCK
Inventory,,,,,4244.67,4028.65,3789.44,3792.48,4624.6,5890.53,MAZDOCK
Cash & Bank,,,,,8802.77,8362.88,7189.56,7469.68,5798.28,8027.91,MAZDOCK
No. of Equity Shares,,,,,19920000.0,24900000.0,224100000.0,224100000.0,201690000.0,201690000.0,MAZDOCK
New Bonus Shares,,,,,,,,,,,MAZDOCK
Face value,,,,,100.0,100.0,10.0,10.0,10.0,10.0,MAZDOCK
