Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,130.51,130.51,130.51,130.51,130.51,130.51,130.51,130.51,132.26,132.26,HINDOILEXP
Reserves,1076.82,525.93,398.05,141.42,164.51,200.85,243.02,391.83,532.82,597.92,HINDOILEXP
Borrowings,590.69,885.79,946.82,,,,,,,150.0,HINDOILEXP
Other Liabilities,193.71,205.54,176.17,150.75,183.15,183.74,160.55,162.13,236.21,155.1,HINDOILEXP
Total,1991.73,1747.77,1651.55,422.68,478.17,515.1,534.08,684.47,901.29,1035.28,HINDOILEXP
Net Block,9.54,9.12,8.71,8.18,7.89,9.69,17.26,17.44,16.83,16.14,HINDOILEXP
Capital Work in Progress,123.88,339.18,337.1,117.63,130.11,6.13,5.62,2.13,139.25,274.08,HINDOILEXP
Investments,71.79,27.6,27.21,22.9,66.71,151.54,42.34,170.75,151.35,89.81,HINDOILEXP
Other Assets,1786.52,1371.87,1278.53,273.97,273.46,347.74,468.86,494.15,593.86,655.25,HINDOILEXP
Total,1991.73,1747.77,1651.55,422.68,478.17,515.1,534.08,684.47,901.29,1035.28,HINDOILEXP
Receivables,19.96,14.89,6.36,3.06,2.17,4.74,16.07,39.09,35.21,28.02,HINDOILEXP
Inventory,46.89,39.18,36.87,23.01,22.43,24.7,28.27,22.71,22.02,30.46,HINDOILEXP
Cash & Bank,42.37,87.27,12.72,7.34,53.17,34.29,91.51,25.2,63.96,45.99,HINDOILEXP
No. of Equity Shares,130493289.0,130509300.0,130509301.0,130509300.0,130526264.0,130526264.0,130526264.0,130526264.0,132276264.0,132276264.0,HINDOILEXP
New Bonus Shares,,,,,,,,,,,HINDOILEXP
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,HINDOILEXP
