Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,59.19,59.19,59.19,59.19,59.19,59.19,59.19,59.19,59.19,59.19,KOTHARIPET
Reserves,1.4,1.44,2.46,5.41,7.51,11.65,19.44,26.3,41.03,63.94,KOTHARIPET
Borrowings,10.32,7.9,17.81,22.73,17.94,34.13,33.58,27.47,7.68,3.88,KOTHARIPET
Other Liabilities,21.58,28.05,31.41,31.11,25.62,27.8,31.38,36.93,37.94,43.66,KOTHARIPET
Total,92.49,96.58,110.87,118.44,110.26,132.77,143.59,149.89,145.84,170.67,KOTHARIPET
Net Block,59.99,48.44,47.01,51.87,52.6,62.68,95.2,99.4,99.0,96.14,KOTHARIPET
Capital Work in Progress,,,5.77,1.94,1.95,6.31,0.06,0.84,0.16,2.53,KOTHARIPET
Investments,1.1,3.18,10.93,11.95,6.14,,,,4.0,15.3,KOTHARIPET
Other Assets,31.4,44.96,47.16,52.68,49.57,63.78,48.33,49.65,42.68,56.7,KOTHARIPET
Total,92.49,96.58,110.87,118.44,110.26,132.77,143.59,149.89,145.84,170.67,KOTHARIPET
Receivables,10.74,21.42,30.88,23.86,16.37,19.71,21.62,22.26,20.95,18.81,KOTHARIPET
Inventory,7.38,10.42,6.01,9.79,9.39,10.61,10.86,10.14,11.02,17.65,KOTHARIPET
Cash & Bank,3.92,4.44,2.2,9.04,16.44,23.74,1.91,7.71,2.36,14.79,KOTHARIPET
No. of Equity Shares,58846400.0,58846400.0,59186800.0,59186800.0,59186800.0,59186800.0,59186800.0,59186800.0,59186800.0,59186800.0,KOTHARIPET
New Bonus Shares,,,,,,,,,,,KOTHARIPET
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,KOTHARIPET
