Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,4.6,4.6,4.6,4.6,4.6,12.5,12.5,12.5,25.0,25.0,AIRAN
Reserves,10.44,11.25,12.12,12.81,14.22,23.47,67.31,61.61,55.5,60.99,AIRAN
Borrowings,3.43,2.58,3.9,9.91,8.39,12.66,8.68,6.83,7.64,5.81,AIRAN
Other Liabilities,0.94,1.26,2.25,2.48,3.14,2.01,3.68,10.56,11.79,15.88,AIRAN
Total,19.41,19.69,22.87,29.8,30.35,50.64,92.17,91.5,99.93,107.68,AIRAN
Net Block,7.97,8.28,9.19,12.69,13.73,15.26,54.89,53.9,55.76,59.18,AIRAN
Capital Work in Progress,,,,0.49,0.87,,,,0.09,,AIRAN
Investments,,,,,4.04,,12.68,8.58,3.19,7.07,AIRAN
Other Assets,11.44,11.41,13.68,16.62,11.71,35.38,24.6,29.02,40.89,41.43,AIRAN
Total,19.41,19.69,22.87,29.8,30.35,50.64,92.17,91.5,99.93,107.68,AIRAN
Receivables,2.38,2.31,4.48,6.87,5.74,13.96,7.63,8.89,14.9,19.26,AIRAN
Inventory,0.03,0.04,0.31,0.41,0.28,,,,,,AIRAN
Cash & Bank,0.12,0.21,1.44,1.46,2.47,12.16,0.92,1.54,1.33,0.8,AIRAN
No. of Equity Shares,4601000.0,4601000.0,4601000.0,4601000.0,4601000.0,12502000.0,12502000.0,62510000.0,125020000.0,125020000.0,AIRAN
New Bonus Shares,,,,,,,,,,,AIRAN
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,AIRAN
