Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Cash from Operating Activity,3.63,10.4,15.11,15.53,7.85,16.57,9.16,12.94,14.85,0.78,SHREERAMA
Cash from Investing Activity,-4.11,-2.5,0.42,-2.22,4.39,-0.72,10.14,-6.73,13.22,-1.14,SHREERAMA
Cash from Financing Activity,-7.97,-11.74,-13.11,-4.43,-14.23,-15.68,-20.38,-6.36,-27.94,0.24,SHREERAMA
Net Cash Flow,-8.45,-3.84,2.42,8.88,-1.99,0.18,-1.08,-0.15,0.12,-0.12,SHREERAMA
