Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,70.76,70.76,70.76,41.19,41.55,41.55,MFL
Reserves,,,,,224.39,290.96,446.57,240.66,331.0,431.66,MFL
Borrowings,,,,,189.93,123.26,74.28,389.71,526.21,538.31,MFL
Other Liabilities,,,,,54.81,42.5,79.23,372.65,374.7,437.23,MFL
Total,,,,,539.89,527.48,670.84,1044.21,1273.46,1448.75,MFL
Net Block,,,,,364.26,397.94,347.21,294.72,440.17,1102.31,MFL
Capital Work in Progress,,,,,69.49,3.09,78.8,468.25,691.16,125.84,MFL
Investments,,,,,,28.53,71.42,,,0.05,MFL
Other Assets,,,,,106.14,97.92,173.41,281.24,142.13,220.55,MFL
Total,,,,,539.89,527.48,670.84,1044.21,1273.46,1448.75,MFL
Receivables,,,,,45.93,44.39,76.86,77.36,76.45,118.84,MFL
Inventory,,,,,36.69,28.15,29.6,40.65,48.4,53.96,MFL
Cash & Bank,,,,,0.57,0.09,5.08,129.21,0.1,0.68,MFL
No. of Equity Shares,,,,,70759999.0,70759999.0,70759999.0,41193114.0,41552665.0,41552665.0,MFL
New Bonus Shares,,,,,,,,,,,MFL
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,MFL
