Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,47.49,196.54,63.92,50.53,46.6,52.73,48.47,48.52,152.73,209.11,PILANIINVS
Raw Material Cost,,,,,,,,,,,PILANIINVS
Change in Inventory,,,,,,,,,,,PILANIINVS
Power and Fuel,,,,,,,,,,,PILANIINVS
Other Mfr. Exp,0.61,0.6,1.21,3.54,1.6,0.93,1.19,0.96,1.38,0.88,PILANIINVS
Employee Cost,0.76,0.91,0.99,1.14,1.23,1.05,1.43,1.43,1.49,1.53,PILANIINVS
Selling and admin,0.16,0.35,0.34,1.44,1.74,0.37,0.36,0.37,0.57,0.85,PILANIINVS
Other Expenses,2.26,0.62,0.27,0.24,1.68,1.18,1.0,0.46,7.16,3.95,PILANIINVS
Other Income,,0.03,2.83,0.19,0.01,,,0.01,,0.89,PILANIINVS
Depreciation,0.02,0.02,0.16,0.13,0.21,0.63,0.54,0.46,0.39,0.44,PILANIINVS
Interest,,,,,,,,18.86,43.07,52.11,PILANIINVS
Profit before tax,43.68,194.07,63.78,44.23,40.15,48.57,43.95,25.99,98.67,150.24,PILANIINVS
Tax,0.92,35.13,3.82,1.81,1.24,2.63,2.85,-7.41,17.58,32.84,PILANIINVS
Net profit,42.76,158.94,59.97,42.42,38.91,45.95,41.1,33.39,81.09,117.4,PILANIINVS
