Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.27,0.29,0.29,9.64,9.64,9.64,10.12,SHRADHA
Reserves,,,,49.76,57.19,33.66,42.08,44.51,45.48,42.98,SHRADHA
Borrowings,,,,,,,,,,,SHRADHA
Other Liabilities,,,,10.28,10.58,9.75,2.52,1.14,0.88,1.23,SHRADHA
Total,,,,60.31,68.06,43.7,54.24,55.29,56.0,54.33,SHRADHA
Net Block,,,,57.09,62.57,12.09,11.97,11.83,11.71,7.65,SHRADHA
Capital Work in Progress,,,,,,,,,2.38,3.94,SHRADHA
Investments,,,,0.51,0.53,2.07,14.57,19.59,19.61,19.61,SHRADHA
Other Assets,,,,2.71,4.96,29.54,27.7,23.87,22.3,23.13,SHRADHA
Total,,,,60.31,68.06,43.7,54.24,55.29,56.0,54.33,SHRADHA
Receivables,,,,0.01,0.06,0.49,0.61,0.26,0.23,0.23,SHRADHA
Inventory,,,,,0.07,7.75,2.14,0.96,0.95,0.95,SHRADHA
Cash & Bank,,,,0.85,0.92,18.6,2.46,0.26,0.39,0.07,SHRADHA
No. of Equity Shares,,,,270000.0,288868.0,2888680.0,9642568.0,9642568.0,9642568.0,,SHRADHA
New Bonus Shares,,,,,,,,,,,SHRADHA
Face value,,,,10.0,10.0,1.0,10.0,10.0,10.0,10.0,SHRADHA
