Report Date,Unnamed: 1,Unnamed: 2,2014-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,38.75,38.75,118.54,265.0,265.0,265.0,277.74,382.98,BURGERKING
Reserves,,,-5.64,-11.16,31.65,102.55,22.13,-15.35,-2.32,290.47,BURGERKING
Borrowings,,,,,,290.99,370.02,574.02,796.27,597.26,BURGERKING
Other Liabilities,,,21.35,65.15,55.16,39.92,73.2,96.8,126.01,157.51,BURGERKING
Total,,,54.46,92.74,205.35,698.46,730.35,920.47,1197.7,1428.22,BURGERKING
Net Block,,,24.23,30.38,119.46,474.65,592.31,792.56,1036.68,985.54,BURGERKING
Capital Work in Progress,,,0.41,4.02,9.72,10.46,10.32,20.24,47.56,30.07,BURGERKING
Investments,,,11.5,41.25,44.8,177.26,86.89,38.41,18.58,124.29,BURGERKING
Other Assets,,,18.32,17.09,31.37,36.09,40.83,69.26,94.88,288.32,BURGERKING
Total,,,54.46,92.74,205.35,698.46,730.35,920.47,1197.7,1428.22,BURGERKING
Receivables,,,0.1,0.14,0.73,1.42,2.59,5.9,3.22,5.98,BURGERKING
Inventory,,,0.78,0.77,2.6,4.0,5.19,6.86,9.43,10.03,BURGERKING
Cash & Bank,,,8.8,2.78,2.83,12.48,7.39,16.02,28.04,216.09,BURGERKING
No. of Equity Shares,,,38750000.0,38750000.0,118535000.0,265000000.0,265000000.0,265000000.0,277741785.0,382979644.0,BURGERKING
New Bonus Shares,,,,,,,,,,,BURGERKING
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,BURGERKING
