Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.01,0.01,0.24,0.24,0.33,5.86,6.16,8.41,10.01,AJOONI
Reserves,,,,0.19,0.29,0.64,5.09,6.01,7.49,5.65,AJOONI
Borrowings,,,,,0.78,0.62,4.68,4.77,5.02,6.79,AJOONI
Other Liabilities,,,,1.19,1.12,11.26,3.68,1.31,2.15,5.57,AJOONI
Total,,0.01,0.01,1.62,2.43,12.85,19.31,18.25,23.07,28.02,AJOONI
Net Block,,,,0.2,0.3,1.14,1.04,1.02,2.07,5.16,AJOONI
Capital Work in Progress,,,,,,,,,,,AJOONI
Investments,,,,,,5.71,6.02,3.76,3.08,1.15,AJOONI
Other Assets,,0.01,0.01,1.42,2.13,6.0,12.25,13.47,17.92,21.71,AJOONI
Total,,0.01,0.01,1.62,2.43,12.85,19.31,18.25,23.07,28.02,AJOONI
Receivables,,,,0.79,1.21,1.3,2.86,4.83,12.64,13.71,AJOONI
Inventory,,,,0.36,0.41,4.22,2.0,5.07,3.29,5.38,AJOONI
Cash & Bank,,0.01,0.01,0.13,0.07,0.1,5.3,0.73,0.12,0.24,AJOONI
No. of Equity Shares,,10000.0,10000.0,235000.0,235000.0,330554.0,5855024.0,6155024.0,8405024.0,10005582.0,AJOONI
New Bonus Shares,,,,,,,,,,,AJOONI
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AJOONI
