Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,5171.6,5911.07,5436.37,6952.13,6882.61,4348.1,2548.09,556.44,490.96,647.13,UTTAMSTL
Raw Material Cost,3798.02,4861.62,4026.24,5789.12,5968.05,3480.99,1925.58,281.83,157.48,297.31,UTTAMSTL
Change in Inventory,-312.82,186.2,-205.77,48.68,-236.27,-15.84,-213.0,-0.41,4.54,3.45,UTTAMSTL
Power and Fuel,207.59,226.29,203.6,189.25,175.4,141.11,125.25,136.19,162.75,147.06,UTTAMSTL
Other Mfr. Exp,92.39,127.4,126.97,146.42,130.08,115.15,85.12,72.52,66.46,80.61,UTTAMSTL
Employee Cost,70.62,79.45,91.41,105.97,111.11,96.1,93.8,82.18,78.17,72.67,UTTAMSTL
Selling and admin,175.43,214.88,247.57,263.83,240.62,220.07,148.45,30.39,57.23,51.03,UTTAMSTL
Other Expenses,8.65,-0.9,12.75,-0.01,72.07,77.48,1.34,0.1,2.62,4.61,UTTAMSTL
Other Income,7.45,33.96,63.05,35.18,-613.4,64.24,68.59,-889.71,-733.23,-25.26,UTTAMSTL
Depreciation,127.37,182.58,214.82,223.94,281.84,285.31,258.11,252.8,247.61,233.5,UTTAMSTL
Interest,245.21,304.64,289.09,262.13,505.33,608.99,647.17,936.5,390.87,-34.95,UTTAMSTL
Profit before tax,140.95,135.27,81.2,55.34,-1451.56,-628.7,-881.14,-2126.19,-1400.92,-226.52,UTTAMSTL
Tax,62.99,73.72,45.88,24.6,-404.43,-183.36,,,,,UTTAMSTL
Net profit,77.96,61.55,35.32,30.74,-1047.13,-445.34,-881.14,-2126.19,-1400.92,-226.52,UTTAMSTL
