Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,77.92,125.85,199.19,303.56,434.99,534.66,APTUS
Raw Material Cost,,,,,,,,,,,APTUS
Change in Inventory,,,,,,,,,,,APTUS
Power and Fuel,,,,,0.11,0.17,0.21,0.26,0.27,0.27,APTUS
Other Mfr. Exp,,,,,0.17,0.16,0.14,0.17,0.21,0.27,APTUS
Employee Cost,,,,,16.39,22.52,34.72,44.59,57.13,65.95,APTUS
Selling and admin,,,,,5.31,7.42,9.56,12.66,11.33,9.95,APTUS
Other Expenses,,,,,1.02,2.25,1.67,1.87,3.31,8.18,APTUS
Other Income,,,,,0.04,0.07,2.77,10.92,20.05,16.88,APTUS
Depreciation,,,,,0.98,1.8,2.37,2.92,5.79,5.67,APTUS
Interest,,,,,27.8,35.82,52.44,111.96,169.54,182.41,APTUS
Profit before tax,,,,,26.18,55.78,100.85,140.05,207.46,278.84,APTUS
Tax,,,,,8.67,18.87,34.41,37.4,26.04,60.99,APTUS
Net profit,,,,,17.51,36.91,66.43,102.66,181.42,217.85,APTUS
