Report Date,Unnamed: 1,Unnamed: 2,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,12.14,17.3,17.3,17.3,17.97,17.97,17.97,17.97,KHADIM
Reserves,,,84.02,111.86,137.1,166.66,250.52,269.7,215.53,182.96,KHADIM
Borrowings,,,162.89,133.07,114.37,109.12,68.48,109.04,286.57,244.18,KHADIM
Other Liabilities,,,90.64,83.37,83.53,112.06,152.68,153.09,178.39,185.38,KHADIM
Total,,,349.69,345.6,352.3,405.14,489.65,549.8,698.46,630.49,KHADIM
Net Block,,,122.59,148.88,143.5,120.84,125.85,131.65,277.09,229.73,KHADIM
Capital Work in Progress,,,22.77,2.12,0.86,3.15,1.46,1.74,0.64,1.1,KHADIM
Investments,,,3.05,0.05,1.1,,,,0.09,0.09,KHADIM
Other Assets,,,201.28,194.55,206.84,281.15,362.34,416.41,420.64,399.57,KHADIM
Total,,,349.69,345.6,352.3,405.14,489.65,549.8,698.46,630.49,KHADIM
Receivables,,,15.71,24.09,34.86,77.17,126.73,134.12,118.98,120.7,KHADIM
Inventory,,,114.9,113.78,100.9,114.46,126.69,155.0,169.65,140.68,KHADIM
Cash & Bank,,,11.42,12.44,19.42,11.64,15.64,8.58,7.9,3.9,KHADIM
No. of Equity Shares,,,12135238.0,17298531.0,17298531.0,17298531.0,17965197.0,17969614.0,17969614.0,17969614.0,KHADIM
New Bonus Shares,,,,,,,,,,,KHADIM
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,KHADIM
