Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,167.1,181.96,174.28,182.91,286.3,218.83,323.52,312.97,345.85,302.17,ORIENTABRA
Raw Material Cost,51.62,54.43,50.49,56.6,76.78,88.69,131.39,135.23,149.68,122.68,ORIENTABRA
Change in Inventory,5.09,1.65,0.91,8.94,3.55,13.8,-7.5,13.7,-0.39,-11.89,ORIENTABRA
Power and Fuel,49.78,45.07,49.14,52.21,48.72,45.47,61.92,51.7,55.85,45.33,ORIENTABRA
Other Mfr. Exp,23.91,23.19,24.26,25.48,27.09,26.62,30.0,31.93,31.55,26.89,ORIENTABRA
Employee Cost,11.8,14.6,15.88,18.97,22.23,22.71,26.44,26.3,32.63,30.05,ORIENTABRA
Selling and admin,3.97,9.31,7.7,7.02,61.05,23.8,31.75,35.94,26.39,29.6,ORIENTABRA
Other Expenses,1.35,0.96,2.37,1.94,6.34,4.15,3.33,5.59,4.75,4.76,ORIENTABRA
Other Income,1.71,2.54,0.6,0.86,1.8,0.73,3.81,0.93,0.51,1.92,ORIENTABRA
Depreciation,12.31,12.74,12.7,10.59,8.96,7.97,9.54,10.95,10.28,11.1,ORIENTABRA
Interest,6.58,5.23,2.67,2.76,3.4,4.52,6.13,9.24,8.64,5.82,ORIENTABRA
Profit before tax,12.58,20.62,10.58,17.14,37.08,9.43,19.33,20.72,26.2,15.97,ORIENTABRA
Tax,3.44,4.67,3.52,4.83,13.46,2.42,2.33,4.55,5.65,4.59,ORIENTABRA
Net profit,9.14,15.95,7.06,12.31,23.61,7.01,16.99,16.17,20.56,11.37,ORIENTABRA
