Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,195.9,189.79,212.88,221.34,228.7,214.32,256.23,277.31,240.92,176.44,MAGNUM
Raw Material Cost,51.7,134.12,83.21,97.04,113.01,98.03,114.62,123.85,157.62,125.27,MAGNUM
Change in Inventory,0.41,0.33,-0.01,-0.14,-0.12,0.37,0.73,13.33,-11.51,2.1,MAGNUM
Power and Fuel,41.0,3.66,41.78,63.23,68.3,63.36,63.88,64.6,5.35,2.78,MAGNUM
Other Mfr. Exp,49.65,1.98,33.95,13.7,14.04,15.76,11.61,25.66,3.55,3.35,MAGNUM
Employee Cost,14.2,15.83,16.91,19.04,22.09,26.55,31.77,31.79,33.79,19.64,MAGNUM
Selling and admin,7.28,6.3,9.28,11.89,11.04,14.37,20.15,26.97,21.71,13.87,MAGNUM
Other Expenses,-0.88,2.77,0.26,-0.45,0.11,-0.36,-0.3,0.06,1.94,0.79,MAGNUM
Other Income,0.15,40.47,2.51,-27.07,-14.13,130.3,0.32,0.67,1.0,5.81,MAGNUM
Depreciation,22.25,21.1,19.16,24.8,24.25,23.87,14.3,15.15,15.53,16.69,MAGNUM
Interest,40.92,45.19,36.04,38.19,53.28,0.25,0.31,0.32,1.17,1.75,MAGNUM
Profit before tax,-29.66,-0.36,-25.21,-73.31,-91.67,103.16,0.94,2.91,-10.25,0.21,MAGNUM
Tax,-9.3,-0.05,-6.36,0.01,,,0.18,2.98,17.16,-1.14,MAGNUM
Net profit,-20.36,-0.3,-18.86,-73.32,-91.66,103.16,0.77,-0.06,-27.41,1.34,MAGNUM
