Report Date,Unnamed: 1,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,18.9,18.9,18.9,18.9,18.9,18.9,24.72,24.72,32.59,STOVEKRAFT
Reserves,,45.99,-26.56,40.75,-165.5,-184.52,-197.0,-85.49,-83.39,270.09,STOVEKRAFT
Borrowings,,107.73,110.82,108.46,364.84,371.67,396.25,321.11,338.19,52.41,STOVEKRAFT
Other Liabilities,,139.91,101.16,85.18,121.61,146.27,176.99,167.63,192.5,215.88,STOVEKRAFT
Total,,312.53,204.32,253.29,339.85,352.32,395.14,427.97,472.02,570.97,STOVEKRAFT
Net Block,,55.02,51.3,81.49,191.46,187.04,180.72,180.77,193.69,220.86,STOVEKRAFT
Capital Work in Progress,,6.21,8.67,17.76,0.29,0.09,0.85,1.73,7.57,19.1,STOVEKRAFT
Investments,,15.01,21.83,25.29,8.18,9.05,8.15,8.77,0.93,,STOVEKRAFT
Other Assets,,236.29,122.52,128.75,139.92,156.14,205.42,236.7,269.83,331.01,STOVEKRAFT
Total,,312.53,204.32,253.29,339.85,352.32,395.14,427.97,472.02,570.97,STOVEKRAFT
Receivables,,79.5,37.34,49.24,49.59,59.28,79.55,89.66,103.03,84.72,STOVEKRAFT
Inventory,,119.19,54.04,43.05,69.89,72.63,105.14,97.41,116.59,156.01,STOVEKRAFT
Cash & Bank,,5.84,4.61,7.4,3.38,3.59,3.69,27.89,18.77,37.35,STOVEKRAFT
No. of Equity Shares,,18900105.0,18900105.0,18900110.0,18900100.0,18900100.0,18900000.0,24716727.0,24716727.0,32589613.0,STOVEKRAFT
New Bonus Shares,,,,,,,,,,,STOVEKRAFT
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,STOVEKRAFT
