Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,39.55,43.32,49.8,110.95,118.38,126.13,206.95,110.33,158.93,AHLADA
Raw Material Cost,,23.89,23.8,38.11,68.77,71.9,83.77,124.39,51.43,97.07,AHLADA
Change in Inventory,,,,3.13,0.78,2.07,4.42,-7.81,-1.95,5.97,AHLADA
Power and Fuel,,,,1.16,1.69,1.65,2.52,3.58,3.85,3.53,AHLADA
Other Mfr. Exp,,,,1.46,2.68,4.09,5.7,14.11,10.12,14.5,AHLADA
Employee Cost,,,,4.33,8.76,9.3,10.68,13.25,10.8,10.72,AHLADA
Selling and admin,,0.01,0.01,6.1,20.28,21.21,7.2,9.23,7.24,9.33,AHLADA
Other Expenses,,12.13,17.65,-3.58,-0.1,-0.04,0.01,0.81,-0.04,0.16,AHLADA
Other Income,,0.65,1.2,2.4,0.4,0.11,0.11,0.27,0.18,0.14,AHLADA
Depreciation,,1.23,1.26,1.5,1.72,3.0,3.65,7.02,9.74,11.45,AHLADA
Interest,,,,2.63,3.51,4.17,4.87,8.89,5.19,3.91,AHLADA
Profit before tax,,2.94,1.8,3.62,4.82,5.28,12.26,18.13,10.23,14.37,AHLADA
Tax,,0.91,0.69,1.36,1.77,2.0,4.18,6.76,2.52,4.19,AHLADA
Net profit,,2.02,1.11,2.26,3.06,3.27,8.07,11.37,7.71,10.19,AHLADA
