Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,41.27,47.97,44.8,49.05,8.96,14.69,45.16,54.56,26.35,45.83,RUBYMILLS
Expenses,33.01,34.74,34.64,35.67,5.96,12.38,31.13,35.59,21.66,35.7,RUBYMILLS
Other Income,1.77,1.76,1.66,4.75,0.18,0.13,0.35,9.53,0.32,,RUBYMILLS
Depreciation,2.89,2.93,3.0,3.2,1.93,1.92,2.27,2.28,2.05,2.4,RUBYMILLS
Interest,3.04,2.86,-2.21,1.4,1.58,1.6,1.8,2.9,2.15,2.3,RUBYMILLS
Profit before tax,4.1,9.2,11.03,13.53,-0.33,-1.08,10.31,23.32,0.81,5.43,RUBYMILLS
Tax,1.03,2.24,2.44,4.46,0.1,0.01,2.75,3.51,0.2,1.36,RUBYMILLS
Net profit,3.08,6.96,8.59,9.07,-0.44,-1.09,7.57,19.81,0.61,4.07,RUBYMILLS
Operating Profit,8.26,13.23,10.16,13.38,3.0,2.31,14.03,18.97,4.69,10.13,RUBYMILLS
