Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,625.21,423.79,354.19,404.77,455.35,369.46,432.44,445.09,478.94,499.41,TDPOWERSYS
Raw Material Cost,448.86,268.3,259.97,262.26,300.63,245.7,319.22,319.68,363.58,358.56,TDPOWERSYS
Change in Inventory,2.76,-29.32,23.71,-11.67,-9.1,-2.28,8.54,7.4,24.75,14.28,TDPOWERSYS
Power and Fuel,7.42,6.01,6.6,6.07,5.55,4.96,6.35,6.66,7.19,7.12,TDPOWERSYS
Other Mfr. Exp,12.81,6.49,6.28,9.71,8.86,6.02,5.81,5.14,5.43,6.73,TDPOWERSYS
Employee Cost,46.99,41.81,44.94,49.15,59.4,59.04,65.33,60.17,67.47,73.25,TDPOWERSYS
Selling and admin,34.08,24.06,24.95,26.87,33.83,27.61,29.22,28.19,27.27,25.91,TDPOWERSYS
Other Expenses,1.04,2.42,0.09,0.08,5.28,6.79,0.78,0.38,0.21,1.5,TDPOWERSYS
Other Income,15.61,25.84,30.01,17.19,19.01,17.94,38.55,10.62,17.31,12.69,TDPOWERSYS
Depreciation,9.0,12.25,14.6,28.01,28.38,27.72,27.06,25.91,22.0,20.97,TDPOWERSYS
Interest,9.56,5.12,4.98,5.14,6.41,6.16,8.65,5.63,9.27,8.83,TDPOWERSYS
Profit before tax,73.82,53.85,45.5,23.0,16.92,1.12,17.11,11.35,18.58,23.51,TDPOWERSYS
Tax,24.0,18.17,11.52,6.04,1.95,0.72,4.72,4.28,2.14,6.03,TDPOWERSYS
Net profit,49.82,35.67,33.99,16.96,14.98,0.4,12.39,7.07,16.44,17.48,TDPOWERSYS
