Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,8.24,13.3,13.85,14.3,14.34,28.7,28.26,28.26,27.38,27.38,ORBTEXP
Reserves,25.67,35.07,56.14,79.21,97.8,96.34,111.51,134.73,138.49,139.71,ORBTEXP
Borrowings,30.42,27.21,44.65,42.26,43.46,17.31,14.0,9.8,18.21,21.05,ORBTEXP
Other Liabilities,9.86,11.98,19.82,19.64,20.41,24.61,33.84,35.21,34.98,28.17,ORBTEXP
Total,74.19,87.56,134.46,155.41,176.01,166.96,187.61,208.0,219.06,216.31,ORBTEXP
Net Block,35.25,33.32,69.52,77.38,84.49,80.93,91.72,103.02,98.66,94.15,ORBTEXP
Capital Work in Progress,0.08,0.46,0.08,1.03,2.09,0.21,1.83,1.98,0.26,31.45,ORBTEXP
Investments,0.01,8.05,1.5,4.62,4.62,6.92,6.93,6.92,6.92,8.36,ORBTEXP
Other Assets,38.85,45.73,63.36,72.38,84.81,78.9,87.13,96.08,113.22,82.35,ORBTEXP
Total,74.19,87.56,134.46,155.41,176.01,166.96,187.61,208.0,219.06,216.31,ORBTEXP
Receivables,14.94,16.28,27.83,30.4,34.43,34.81,31.16,30.86,30.82,17.97,ORBTEXP
Inventory,17.99,15.5,21.8,23.54,32.59,25.07,27.41,28.27,30.94,18.85,ORBTEXP
Cash & Bank,0.31,1.95,5.24,6.75,5.84,6.17,8.95,24.46,21.82,12.52,ORBTEXP
No. of Equity Shares,8240660.0,13299000.0,13849150.0,14299150.0,14342150.0,28702300.0,28257856.0,28257856.0,27383065.0,27383065.0,ORBTEXP
New Bonus Shares,,,,,,,,,,,ORBTEXP
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ORBTEXP
