Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.05,0.05,0.05,3.5,5.5,12.94,18.07,18.07,18.07,KPIGLOBAL
Reserves,,,,,10.06,26.18,36.34,80.97,79.99,102.1,KPIGLOBAL
Borrowings,,0.13,0.13,0.13,13.77,30.94,44.13,39.95,138.96,209.11,KPIGLOBAL
Other Liabilities,,0.89,1.14,11.62,26.25,20.17,13.89,22.24,61.44,48.89,KPIGLOBAL
Total,,1.07,1.32,11.8,53.58,82.79,107.3,161.23,298.46,378.17,KPIGLOBAL
Net Block,,,,0.03,30.89,58.19,49.06,84.12,203.46,225.13,KPIGLOBAL
Capital Work in Progress,,,,,1.25,7.78,33.61,18.44,0.83,2.74,KPIGLOBAL
Investments,,,,,,,,,0.02,22.0,KPIGLOBAL
Other Assets,,1.07,1.32,11.77,21.44,16.82,24.63,58.67,94.15,128.3,KPIGLOBAL
Total,,1.07,1.32,11.8,53.58,82.79,107.3,161.23,298.46,378.17,KPIGLOBAL
Receivables,,,,,2.28,1.23,12.99,13.48,28.38,49.87,KPIGLOBAL
Inventory,,0.97,1.2,8.91,13.24,2.73,1.72,15.4,34.73,40.27,KPIGLOBAL
Cash & Bank,,0.01,0.03,0.89,3.01,0.99,1.12,1.99,10.28,21.31,KPIGLOBAL
No. of Equity Shares,,50000.0,50000.0,50000.0,3500000.0,5500000.0,12944444.0,18067000.0,18067000.0,18067000.0,KPIGLOBAL
New Bonus Shares,,,,,,,,,,,KPIGLOBAL
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,KPIGLOBAL
