Report Date,Unnamed: 1,Unnamed: 2,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,29.78,28.6,21.44,30.54,38.72,68.34,52.37,28.68,AHLADA
Expenses,,,21.23,24.14,14.02,25.22,30.21,59.44,42.2,23.26,AHLADA
Other Income,,,0.01,0.09,,0.04,0.02,0.1,0.01,0.05,AHLADA
Depreciation,,,2.35,2.61,2.76,2.81,2.83,3.01,3.65,3.68,AHLADA
Interest,,,1.21,1.17,0.93,0.79,1.1,1.1,1.65,1.03,AHLADA
Profit before tax,,,5.0,0.77,3.73,1.76,4.6,4.89,4.88,0.76,AHLADA
Tax,,,1.45,0.07,1.15,0.32,0.99,1.68,1.5,0.16,AHLADA
Net profit,,,3.54,0.7,2.58,1.44,3.61,3.21,3.38,0.6,AHLADA
Operating Profit,,,8.55,4.46,7.42,5.32,8.51,8.9,10.17,5.42,AHLADA
