Report Date,2012-06-30 00:00:00,2013-06-30 00:00:00,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,25.41,SUPREMEIND
Reserves,616.06,777.1,939.53,1098.14,1196.73,1528.04,1707.64,1967.24,2107.18,2843.76,SUPREMEIND
Borrowings,351.11,469.84,472.64,392.85,412.1,278.98,247.74,162.41,440.77,26.62,SUPREMEIND
Other Liabilities,484.05,683.38,667.81,752.75,697.56,832.24,793.55,914.16,875.05,1086.86,SUPREMEIND
Total,1476.63,1955.73,2105.39,2269.15,2331.8,2664.67,2774.34,3069.22,3448.41,3982.65,SUPREMEIND
Net Block,739.38,1027.74,1087.9,1032.5,1184.65,1263.3,1353.39,1520.97,1607.74,1714.28,SUPREMEIND
Capital Work in Progress,33.81,33.05,18.08,99.8,68.21,46.73,75.02,90.04,92.92,51.02,SUPREMEIND
Investments,33.64,33.64,33.64,33.64,33.62,33.66,33.66,63.8,38.82,38.96,SUPREMEIND
Other Assets,669.8,861.3,965.77,1103.21,1045.32,1320.98,1312.27,1394.41,1708.93,2178.39,SUPREMEIND
Total,1476.63,1955.73,2105.39,2269.15,2331.8,2664.67,2774.34,3069.22,3448.41,3982.65,SUPREMEIND
Receivables,171.68,203.92,234.98,237.63,236.17,275.64,383.03,387.41,312.6,390.02,SUPREMEIND
Inventory,314.01,466.8,497.65,464.67,557.85,776.79,696.98,750.44,890.57,760.77,SUPREMEIND
Cash & Bank,13.87,22.76,26.95,181.47,28.35,78.73,33.49,35.84,229.97,766.34,SUPREMEIND
No. of Equity Shares,127026870.0,127026870.0,127026870.0,127026870.0,127026870.0,127026870.0,127026870.0,127026870.0,127026870.0,127026870.0,SUPREMEIND
New Bonus Shares,,,,,,,,,,,SUPREMEIND
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,SUPREMEIND
