Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.5,1.5,9.0,12.3,12.3,12.3,12.3,KBCGLOBAL
Reserves,,,,0.96,2.1,21.35,71.07,81.94,90.88,110.74,KBCGLOBAL
Borrowings,,,,15.32,24.58,135.15,126.86,128.27,99.06,92.14,KBCGLOBAL
Other Liabilities,,,,46.54,76.51,82.61,89.2,42.96,88.36,98.58,KBCGLOBAL
Total,,,,63.32,104.69,248.11,299.43,265.47,290.6,313.76,KBCGLOBAL
Net Block,,,,0.01,0.01,2.2,1.99,1.88,1.08,1.23,KBCGLOBAL
Capital Work in Progress,,,,,,,,,,,KBCGLOBAL
Investments,,,,0.22,2.28,19.59,2.32,27.31,46.85,56.01,KBCGLOBAL
Other Assets,,,,63.09,102.4,226.32,295.12,236.28,242.67,256.52,KBCGLOBAL
Total,,,,63.32,104.69,248.11,299.43,265.47,290.6,313.76,KBCGLOBAL
Receivables,,,,3.04,2.28,0.76,1.67,11.25,12.16,29.89,KBCGLOBAL
Inventory,,,,57.23,96.92,171.08,141.12,154.68,164.01,151.66,KBCGLOBAL
Cash & Bank,,,,2.21,2.34,2.21,91.91,6.5,0.37,0.37,KBCGLOBAL
No. of Equity Shares,,,,50000.0,150000.0,9000000.0,12300000.0,12300000.0,12300000.0,61500000.0,KBCGLOBAL
New Bonus Shares,,,,,,,,,,,KBCGLOBAL
Face value,,,,100.0,100.0,10.0,10.0,10.0,10.0,2.0,KBCGLOBAL
