Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,167.93,215.25,224.01,254.92,229.46,251.04,245.85,445.78,MANAKCOAT
Raw Material Cost,,,126.06,167.02,161.45,198.63,179.16,194.63,206.35,358.46,MANAKCOAT
Change in Inventory,,,-8.69,2.79,-10.84,1.88,10.56,19.44,36.82,18.35,MANAKCOAT
Power and Fuel,,,3.71,6.72,6.46,6.74,6.94,8.56,13.02,14.74,MANAKCOAT
Other Mfr. Exp,,,2.92,5.3,2.21,19.36,21.67,25.12,14.98,34.11,MANAKCOAT
Employee Cost,,,3.32,7.04,6.67,9.36,9.81,11.03,13.05,13.49,MANAKCOAT
Selling and admin,,,11.85,20.32,20.1,4.98,3.19,3.98,3.66,3.63,MANAKCOAT
Other Expenses,,,1.77,4.21,3.99,4.52,3.87,4.2,4.83,6.26,MANAKCOAT
Other Income,,,0.21,2.54,4.34,1.66,2.53,3.39,1.64,2.48,MANAKCOAT
Depreciation,,,3.57,15.28,9.88,8.16,7.73,9.8,8.6,8.69,MANAKCOAT
Interest,,,4.03,5.43,4.19,4.09,5.35,13.76,16.94,19.12,MANAKCOAT
Profit before tax,,,2.22,-10.74,2.56,2.62,4.83,2.79,2.88,8.11,MANAKCOAT
Tax,,,1.21,-3.37,-0.35,2.32,2.05,2.53,-2.0,1.65,MANAKCOAT
Net profit,,,1.01,-7.37,2.92,0.28,2.78,0.27,4.88,6.45,MANAKCOAT
