Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,4.4,4.4,4.4,4.4,4.4,10.15,10.39,ROSSARI
Reserves,,,,24.28,40.86,56.19,85.11,115.94,273.32,394.06,ROSSARI
Borrowings,,,,37.57,21.97,24.2,21.74,9.41,66.93,,ROSSARI
Other Liabilities,,,,26.93,36.59,36.84,48.67,118.73,117.89,139.91,ROSSARI
Total,,,,93.18,103.82,121.63,159.92,248.48,468.29,544.36,ROSSARI
Net Block,,,,42.94,35.96,36.89,43.74,74.0,93.54,170.75,ROSSARI
Capital Work in Progress,,,,,7.55,7.9,9.99,2.83,21.75,0.32,ROSSARI
Investments,,,,0.2,0.2,0.2,3.2,0.23,15.21,9.25,ROSSARI
Other Assets,,,,50.04,60.11,76.64,102.99,171.42,337.79,364.04,ROSSARI
Total,,,,93.18,103.82,121.63,159.92,248.48,468.29,544.36,ROSSARI
Receivables,,,,23.29,28.96,47.34,59.79,85.57,93.81,137.32,ROSSARI
Inventory,,,,18.94,25.04,23.51,35.1,54.9,58.17,88.52,ROSSARI
Cash & Bank,,,,0.36,2.01,1.78,0.66,5.99,127.21,85.98,ROSSARI
No. of Equity Shares,,,,4400000.0,4400000.0,4400000.0,4400000.0,22000000.0,50752920.0,51929390.0,ROSSARI
New Bonus Shares,,,,,,,,,,,ROSSARI
Face value,,,,10.0,10.0,10.0,10.0,2.0,2.0,2.0,ROSSARI
