Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,9.71,11.12,11.12,11.12,11.12,11.12,11.12,13.34,13.34,13.34,CUPID
Reserves,6.58,7.44,7.49,13.08,25.01,42.89,54.53,62.6,90.12,117.51,CUPID
Borrowings,4.89,2.5,3.25,2.19,0.88,,2.14,2.29,31.47,,CUPID
Other Liabilities,5.1,3.58,4.65,8.5,13.57,9.11,10.5,14.71,29.86,21.53,CUPID
Total,26.28,24.64,26.51,34.89,50.58,63.12,78.29,92.94,164.79,152.38,CUPID
Net Block,16.78,17.2,16.28,15.61,15.55,16.06,16.3,20.84,26.31,29.13,CUPID
Capital Work in Progress,0.07,,,,,,,0.07,3.16,1.4,CUPID
Investments,0.47,0.15,0.07,0.06,0.06,5.0,18.05,22.18,21.22,47.62,CUPID
Other Assets,8.96,7.29,10.16,19.22,34.97,42.06,43.94,49.85,114.1,74.23,CUPID
Total,26.28,24.64,26.51,34.89,50.58,63.12,78.29,92.94,164.79,152.38,CUPID
Receivables,2.7,1.28,3.17,8.18,13.27,13.41,22.13,22.79,41.89,25.47,CUPID
Inventory,3.95,2.97,4.71,3.47,3.42,4.44,7.56,7.91,16.48,13.78,CUPID
Cash & Bank,0.24,0.39,0.25,3.2,9.4,19.04,4.25,8.83,36.84,19.28,CUPID
No. of Equity Shares,9710000.0,11115000.0,11115000.0,11115000.0,11115000.0,11115000.0,11115000.0,13338000.0,13338000.0,13338000.0,CUPID
New Bonus Shares,,,,,,,,,,,CUPID
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,CUPID
