Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,183.76,212.91,277.84,311.64,385.37,SUPRIYA
Raw Material Cost,,,,,,112.46,127.94,146.07,152.38,140.57,SUPRIYA
Change in Inventory,,,,,,-10.52,-7.56,,13.9,12.44,SUPRIYA
Power and Fuel,,,,,,6.93,7.03,,8.97,9.24,SUPRIYA
Other Mfr. Exp,,,,,,12.27,14.37,,8.27,6.67,SUPRIYA
Employee Cost,,,,,,15.49,16.3,,25.59,32.77,SUPRIYA
Selling and admin,,,,,,8.11,15.85,,23.39,33.26,SUPRIYA
Other Expenses,,,,,,0.6,1.91,67.03,8.56,8.01,SUPRIYA
Other Income,,,,,,7.19,8.6,8.02,11.07,10.86,SUPRIYA
Depreciation,,,,,,4.75,5.33,5.44,6.41,6.76,SUPRIYA
Interest,,,,,,11.76,10.75,10.22,6.85,4.08,SUPRIYA
Profit before tax,,,,,,8.06,14.47,57.1,96.19,167.31,SUPRIYA
Tax,,,,,,2.4,5.74,17.68,22.84,43.71,SUPRIYA
Net profit,,,,,,5.66,8.73,39.42,73.35,123.59,SUPRIYA
