Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,520.97,1386.68,1321.75,1616.88,SOLARA
Raw Material Cost,,,,,,,274.24,738.62,653.03,726.56,SOLARA
Change in Inventory,,,,,,,2.48,33.79,54.16,2.15,SOLARA
Power and Fuel,,,,,,,31.41,79.35,77.68,85.42,SOLARA
Other Mfr. Exp,,,,,,,52.84,91.58,89.5,91.19,SOLARA
Employee Cost,,,,,,,67.56,183.98,202.24,227.63,SOLARA
Selling and admin,,,,,,,22.22,64.7,74.19,76.07,SOLARA
Other Expenses,,,,,,,16.55,48.38,22.42,26.83,SOLARA
Other Income,,,,,,,2.28,12.03,27.19,28.41,SOLARA
Depreciation,,,,,,,33.83,82.79,93.67,108.31,SOLARA
Interest,,,,,,,25.13,82.42,77.88,84.47,SOLARA
Profit before tax,,,,,,,1.95,60.68,112.49,220.96,SOLARA
Tax,,,,,,,,2.01,,,SOLARA
Net profit,,,,,,,1.95,58.67,112.49,220.96,SOLARA
