Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,491.27,425.54,437.98,467.82,505.56,488.12,535.8,DODLA
Expenses,,,,487.82,375.5,366.49,403.38,474.63,442.53,478.1,DODLA
Other Income,,,,7.43,1.36,1.45,2.03,2.95,2.94,3.63,DODLA
Depreciation,,,,11.77,11.79,11.93,11.97,11.66,11.98,12.23,DODLA
Interest,,,,5.21,3.85,3.12,2.69,2.2,2.23,3.69,DODLA
Profit before tax,,,,-6.1,35.76,57.89,51.81,20.02,34.32,45.41,DODLA
Tax,,,,,10.07,16.9,16.96,13.15,10.56,13.52,DODLA
Net profit,,,,-6.09,25.69,40.98,34.86,6.87,23.75,31.89,DODLA
Operating Profit,,,,3.45,50.04,71.49,64.44,30.93,45.59,57.7,DODLA
