Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,31.67,32.9,33.56,33.56,33.56,33.56,EXXARO
Reserves,,,,,37.93,61.31,85.69,97.42,87.18,102.48,EXXARO
Borrowings,,,,,58.13,147.71,154.5,140.83,170.93,157.52,EXXARO
Other Liabilities,,,,,44.11,98.08,108.02,99.82,95.38,75.75,EXXARO
Total,,,,,171.84,340.0,381.77,371.63,387.05,369.31,EXXARO
Net Block,,,,,76.24,200.33,197.32,185.7,171.89,159.41,EXXARO
Capital Work in Progress,,,,,23.19,,,,,,EXXARO
Investments,,,,,,,,,1.37,1.37,EXXARO
Other Assets,,,,,72.41,139.67,184.45,185.93,213.79,208.53,EXXARO
Total,,,,,171.84,340.0,381.77,371.63,387.05,369.31,EXXARO
Receivables,,,,,33.96,60.95,69.87,84.77,96.36,90.08,EXXARO
Inventory,,,,,20.3,59.65,89.45,79.48,105.45,104.34,EXXARO
Cash & Bank,,,,,5.26,6.64,10.83,4.86,3.54,5.31,EXXARO
No. of Equity Shares,,,,,31666250.0,32897127.0,33555070.0,33555070.0,33555070.0,33555070.0,EXXARO
New Bonus Shares,,,,,,,,,,,EXXARO
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,EXXARO
