Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,603.91,493.16,663.34,791.57,1075.67,1186.09,1157.61,SHYAMMETL
Expenses,,,,485.56,404.9,534.21,632.56,784.44,854.33,873.59,SHYAMMETL
Other Income,,,,0.82,0.74,1.65,2.23,45.6,1.59,74.17,SHYAMMETL
Depreciation,,,,55.05,34.29,34.59,34.59,46.19,28.4,28.25,SHYAMMETL
Interest,,,,16.1,14.0,10.84,9.13,4.75,3.69,1.52,SHYAMMETL
Profit before tax,,,,48.02,40.71,85.35,117.52,285.89,301.26,328.42,SHYAMMETL
Tax,,,,-5.96,-8.93,-5.95,34.34,71.1,76.38,68.78,SHYAMMETL
Net profit,,,,53.98,49.64,91.3,83.18,214.79,224.88,259.64,SHYAMMETL
Operating Profit,,,,118.35,88.26,129.13,159.01,291.23,331.76,284.02,SHYAMMETL
